新闻频道,#genre#
凤凰卫视资讯台,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视中文台,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
凤凰卫视中文台,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰卫视电影台,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰资讯HD,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰资讯HD,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
凤凰资讯HD,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯HD,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯HD,http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰中文HD,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
凤凰中文HD,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰中文HD,http://50.7.218.42:8278/phoenixtv_hd/playlist.m3u8?tid=m18f421b0e58b&ct=18336&tsum=8e0cca627477cbd534c9cef5e2c17c1c
凤凰香港HD,http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
凤凰香港HD,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰香港HD,http://50.7.218.42:8278/hkphoenix_twn/playlist.m3u8?tid=m5bd7047b492a&ct=18336&tsum=2c3b7b7f9cee713c07f561b51a9e2768
凤凰资讯HD,http://live.clg.kim/tv/fhzx.m3u8
凤凰中文HD,http://live.clg.kim/tv/fhzw.m3u8
凤凰中文HD,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯HD,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰中文HD,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
凤凰香港HD,http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
凤凰中文HD,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
凤凰资讯HD,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
凤凰香港HD,http://59.44.10.113:9901/tsfile/live/1080_1.m3u8
俄罗斯中文台,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
半岛电视,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半岛电视,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8  
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/02.m3u8
上海新闻综合,http://219.151.31.37/liveplay-kk.rtxapp.com/live/program/live/xwzhhd/4000000/mnf.m3u8
上海新闻综合,http://183.207.255.190/live/program/live/xwzhhd/4000000/mnf.m3u8
上海新闻综合,http://140.207.241.2:8080/live/program/live/xwzhhd/4000000/mnf.m3u8
五星体育,http://140.207.241.2:8080/live/program/live/ssty/4000000/mnf.m3u8  
新视觉,http://140.207.241.2:8080/live/program/live/xsjhd/4000000/mnf.m3u8
凤凰资讯,http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰中文,http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
中天新聞,http://60.251.59.180:8543/xoxo.m3u8
中天新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
中天新聞,http://60.251.59.180:8543/xoxo.m3u8
中天新闻,http://60.249.146.250:8595/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
中天新闻,http://60.249.146.250:8595/playlist.m3u8
华视新闻,http://60.249.146.250:8592/playlist.m3u8
华视新闻,http://60.249.146.250:8592/http/60.251.39.91:8081/hls/61/803/ch03.m3u8
年代新闻,http://60.249.146.250:8593/playlist.m3u8
年代新闻,http://60.249.146.250:8519/http/60.251.39.91:8081/hls/66/808/ch22.m3u8
年代新闻,http://60.249.146.250:8593/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
鏡新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268
東森新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
華視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
民視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
三立財經,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live089&nid=229
TVBS新聞台,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
東森財經新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live019&nid=211
中視新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
壹电视新闻台,http://stream.nexttv.com.tw/n001/hd/live.m3u8
壹电视新闻台,http://stream.nexttv.com.tw/n001/playlist.m3u8
Al Jazeera EN,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
France 24,http://f24hls-i.akamaihd.net/hls/live/221147/F24_EN_HI_HLS/master.m3u8
上海新闻综合,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=xwzhhd&rate=fhd
东方电影,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
劲爆体育,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=jbtyhd&rate=fhd
五星体育,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=ssty&rate=fhd
纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
BestTv,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=hdnba5&rate=fhd
BestTv,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=hdnba6&rate=fhd
上海频道,#genre#
上海新闻综合,http://111.40.196.9/PLTV/88888888/224/3221225499/index.m3u8
上海新闻综合,http://219.151.31.37/liveplay-kk.rtxapp.com/live/program/live/xwzhhd/4000000/mnf.m3u8
上海新闻综合,http://58.34.204.67:9901/tsfile/live/1015_1.m3u8
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
五星体育http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
